Sanity: VQ-VAE latent should be [B, 64, 4, 4] -> (64, 64, 4, 4)
Sanity: VQ-VAE token map should be [B, 4, 4] -> (64, 4, 4)
{'epoch': 11, 'step': 0, 'loss': 0.03002100996673107, 'perplexity': 214.3885040283203, 'dead_codes': 6, 'recon_mse': 0.007114395033568144, 'codebook_loss': 0.018325291574001312, 'commitment_loss': 0.018325291574001312, 'quantization_gap': 1.1728185415267944}
{'epoch': 11, 'step': 25, 'loss': 0.029812350869178772, 'perplexity': 215.74957275390625, 'dead_codes': 0, 'recon_mse': 0.008721915073692799, 'codebook_loss': 0.016872350126504898, 'commitment_loss': 0.016872350126504898, 'quantization_gap': 1.0798304080963135}
{'epoch': 11, 'step': 50, 'loss': 0.027467498555779457, 'perplexity': 205.33224487304688, 'dead_codes': 0, 'recon_mse': 0.005705125629901886, 'codebook_loss': 0.017409898340702057, 'commitment_loss': 0.017409898340702057, 'quantization_gap': 1.1142336130142212}
{'epoch': 12, 'step': 0, 'loss': 0.03388618677854538, 'perplexity': 198.7974395751953, 'dead_codes': 2, 'recon_mse': 0.007136405911296606, 'codebook_loss': 0.02139982394874096, 'commitment_loss': 0.02139982394874096, 'quantization_gap': 1.3695887327194214}
{'epoch': 12, 'step': 25, 'loss': 0.025904566049575806, 'perplexity': 185.00119018554688, 'dead_codes': 0, 'recon_mse': 0.005278331693261862, 'codebook_loss': 0.016500987112522125, 'commitment_loss': 0.016500987112522125, 'quantization_gap': 1.056063175201416}
{'epoch': 12, 'step': 50, 'loss': 0.02280469425022602, 'perplexity': 177.33743286132812, 'dead_codes': 0, 'recon_mse': 0.004052766133099794, 'codebook_loss': 0.015001542866230011, 'commitment_loss': 0.015001542866230011, 'quantization_gap': 0.9600988626480103}
{'epoch': 13, 'step': 0, 'loss': 0.03272109851241112, 'perplexity': 198.95980834960938, 'dead_codes': 2, 'recon_mse': 0.005834352225065231, 'codebook_loss': 0.02150939777493477, 'commitment_loss': 0.02150939777493477, 'quantization_gap': 1.3766013383865356}
{'epoch': 13, 'step': 25, 'loss': 0.026757119223475456, 'perplexity': 192.7353057861328, 'dead_codes': 0, 'recon_mse': 0.005028264597058296, 'codebook_loss': 0.017383083701133728, 'commitment_loss': 0.017383083701133728, 'quantization_gap': 1.1125173568725586}
{'epoch': 13, 'step': 50, 'loss': 0.0260595865547657, 'perplexity': 205.5692138671875, 'dead_codes': 0, 'recon_mse': 0.004649991635233164, 'codebook_loss': 0.01712767593562603, 'commitment_loss': 0.01712767593562603, 'quantization_gap': 1.096171259880066}
{'epoch': 14, 'step': 0, 'loss': 0.022298015654087067, 'perplexity': 180.39561462402344, 'dead_codes': 1, 'recon_mse': 0.004016295075416565, 'codebook_loss': 0.014625376090407372, 'commitment_loss': 0.014625376090407372, 'quantization_gap': 0.9360240697860718}
